Date (fractional),Date,Mass trend,Uncertainty (without leakage)
2002.2918,4/1/2002,4729.332488,74.592
2002.3548,5/1/2002,4715.585432,79.5312
2002.6233,8/1/2002,4656.996791,63.9072
2002.7068,9/1/2002,4638.776487,80.9676
2002.7904,10/1/2002,4620.534362,65.7552
2002.874,11/1/2002,4602.292238,63.5544
2002.9575,12/1/2002,4584.071934,81.0264
2003.0425,1/1/2003,4565.524319,126.336
2003.1233,2/1/2003,4547.893175,76.4316
2003.2041,3/1/2003,4530.262031,68.7624
2003.2877,4/1/2003,4512.019906,65.0328
2003.3575,5/1/2003,4496.789041,67.7544
2003.5384,7/1/2003,4457.315353,62.8908
2003.6233,8/1/2003,4438.789559,66.2172
2003.7068,9/1/2003,4420.569255,64.6968
2003.789,10/1/2003,4402.632621,65.6124
2003.874,11/1/2003,4384.085006,70.1652
2003.9575,12/1/2003,4365.864702,64.8144
2004.0178,1/1/2004,4352.706806,76.4904
2004.1284,2/1/2004,4328.573087,66.9228
2004.2063,3/1/2004,4311.574743,64.2936
2004.2896,4/1/2004,4293.398081,68.1576
2004.373,5/1/2004,4275.199598,68.2164
2004.4563,6/1/2004,4257.022935,63.9576
2004.5396,7/1/2004,4238.846273,65.8812
2004.6243,8/1/2004,4220.364121,68.0316
2004.7077,9/1/2004,4202.165637,74.718
2004.791,10/1/2004,4183.988975,70.0728
2004.8743,11/1/2004,4165.812313,66.8976
2004.9577,12/1/2004,4147.61383,68.1576
2005.0425,1/1/2005,4129.109856,64.4952
2005.1233,2/1/2005,4111.478712,63.21
2005.2041,3/1/2005,4093.847568,64.1844
2005.2877,4/1/2005,4075.605443,66.4104
2005.3712,5/1/2005,4057.385139,62.7816
2005.4548,6/1/2005,4039.143015,63.8988
2005.5384,7/1/2005,4020.90089,63.7308
2005.6233,8/1/2005,4002.375096,64.134
2005.7068,9/1/2005,3984.154793,65.4276
2005.7904,10/1/2005,3965.912668,62.1432
2005.874,11/1/2005,3947.670543,64.6464
2005.9575,12/1/2005,3929.45024,70.602
2006.0425,1/1/2006,3910.902625,63.2352
2006.1233,2/1/2006,3893.271481,63.6636
2006.2041,3/1/2006,3875.640336,62.7564
2006.2877,4/1/2006,3857.398212,63.9828
2006.3712,5/1/2006,3839.177908,63.0756
2006.4548,6/1/2006,3820.935783,65.646
2006.5384,7/1/2006,3802.693659,63.2856
2006.6233,8/1/2006,3784.167865,64.5792
2006.7068,9/1/2006,3765.947561,63.9744
2006.7904,10/1/2006,3747.705437,68.4012
2006.874,11/1/2006,3729.463312,65.3184
2006.9575,12/1/2006,3711.243008,63.7056
2007.0425,1/1/2007,3692.695394,65.7804
2007.1233,2/1/2007,3675.064249,65.0496
2007.2041,3/1/2007,3657.433105,66.864
2007.2877,4/1/2007,3639.19098,66.4524
2007.3712,5/1/2007,3620.970677,64.2684
2007.4548,6/1/2007,3602.728552,65.1588
2007.5384,7/1/2007,3584.486428,63.1428
2007.6233,8/1/2007,3565.960634,63.8148
2007.7068,9/1/2007,3547.74033,63.798
2007.7904,10/1/2007,3529.498205,65.1504
2007.874,11/1/2007,3511.256081,64.0668
2007.9575,12/1/2007,3493.035777,65.52
2008.0423,1/1/2008,3474.531804,66.0492
2008.1243,2/1/2008,3456.638811,62.2104
2008.2063,3/1/2008,3438.745818,63.63
2008.2896,4/1/2008,3420.569155,64.4868
2008.373,5/1/2008,3402.370672,63.5544
2008.4563,6/1/2008,3384.19401,63.9828
2008.5396,7/1/2008,3366.017347,64.9236
2008.6243,8/1/2008,3347.535195,63.0168
2008.7077,9/1/2008,3329.336712,66.2508
2008.791,10/1/2008,3311.160049,63.126
2008.8743,11/1/2008,3292.983387,66.3432
2008.9577,12/1/2008,3274.784904,63.9576
2009.0425,1/1/2009,3256.280931,63.1848
2009.1233,2/1/2009,3238.649786,66.612
2009.2041,3/1/2009,3221.018642,65.9484
2009.2877,4/1/2009,3202.776518,62.664
2009.3712,5/1/2009,3184.556214,64.4364
2009.4548,6/1/2009,3166.314089,63.0336
2009.5384,7/1/2009,3148.071965,64.8816
2009.6233,8/1/2009,3129.546171,64.1844
2009.7068,9/1/2009,3111.325867,65.6628
2009.7904,10/1/2009,3093.083742,65.2932
2009.874,11/1/2009,3074.841618,64.3692
2009.9575,12/1/2009,3056.621314,64.3188
2010.0425,1/1/2010,3038.073699,64.8396
2010.1233,2/1/2010,3020.442555,62.9076
2010.2041,3/1/2010,3002.811411,62.0928
2010.2877,4/1/2010,2984.569286,65.3268
2010.3712,5/1/2010,2966.348982,65.2092
2010.4548,6/1/2010,2948.106858,67.0236
2010.5384,7/1/2010,2929.864733,65.4024
2010.6233,8/1/2010,2911.338939,65.2008
2010.7068,9/1/2010,2893.118636,63.756
2010.7904,10/1/2010,2874.876511,70.8288
2010.874,11/1/2010,2856.634386,71.9628
2010.9521,12/1/2010,2839.592402,68.5524
2011.1329,2/1/2011,2800.140534,64.9572
2011.2041,3/1/2011,2784.604179,70.0812
2011.2877,4/1/2011,2766.362055,66.1668
2011.3712,5/1/2011,2748.141751,65.2512
2011.5438,7/1/2011,2710.479183,72.3324
2011.6233,8/1/2011,2693.131708,72.3156
2011.7068,9/1/2011,2674.911404,65.6628
2011.7904,10/1/2011,2656.66928,74.9028
2011.8342,11/1/2011,2647.111803,66.3096
2011.9999,12/1/2011,2610.954865,72.1644
2012.0423,1/1/2012,2601.702878,65.5536
2012.1243,2/1/2012,2583.809885,77.7252
2012.2063,3/1/2012,2565.916892,74.1888
2012.2582,4/1/2012,2554.591937,97.1964
2012.4563,6/1/2012,2511.365084,93.8784
2012.5396,7/1/2012,2493.188422,70.9632
2012.6243,8/1/2012,2474.706269,88.7628
2012.6995,9/1/2012,2458.297086,69.4512
2012.8811,11/1/2012,2418.670652,66.4356
2012.9577,12/1/2012,2401.955978,67.3848
2013.0425,1/1/2013,2383.452005,82.6728
2013.1205,2/1/2013,2366.431841,76.2552
2013.3014,4/1/2013,2326.958153,68.1576
2013.3712,5/1/2013,2311.727288,63.084
2013.4548,6/1/2013,2293.485164,64.596
2013.5384,7/1/2013,2275.243039,67.2
2013.7904,10/1/2013,2220.254817,62.6472
2013.874,11/1/2013,2202.012692,64.1592
2013.9575,12/1/2013,2183.792388,65.688
2014.0233,1/1/2014,2169.434353,66.1836
2014.2041,3/1/2014,2129.982485,63.3864
2014.2877,4/1/2014,2111.740361,64.2432
2014.3712,5/1/2014,2093.520057,64.8648
2014.4466,6/1/2014,2077.067232,67.494
2014.6233,8/1/2014,2038.510014,63.6384
2014.7068,9/1/2014,2020.28971,63.126
2014.7904,10/1/2014,2002.047585,65.4864
2014.8767,11/1/2014,1983.216301,73.3488
2015.0589,1/1/2015,1943.458944,76.2384
2015.1233,2/1/2015,1929.406398,139.6668
2015.2041,3/1/2015,1911.775254,66.4356
2015.2877,4/1/2015,1893.533129,62.4204
2015.3178,4/1/2015,1886.965092,64.2516
2015.5356,7/1/2015,1839.439557,68.8632
2015.6233,8/1/2015,1820.302782,67.9308
2015.7027,9/1/2015,1802.977128,64.47
2015.9767,12/1/2015,1743.188347,64.89
2016.0423,1/1/2016,1728.873952,69.5604
2016.1202,2/1/2016,1711.875609,66.0072
2016.2063,3/1/2016,1693.087966,63.5208
2016.3825,5/1/2016,1654.639852,63.252
2016.4563,6/1/2016,1638.536159,67.3428
2016.5369,7/1/2016,1620.948656,64.5708
2016.638,8/1/2016,1598.887905,69.8124
2016.9057,11/1/2016,1540.473829,70.4424
2016.9795,12/1/2016,1524.370135,82.446
2017.0548,1/1/2017,1507.939131,86.8644
2017.2452,3/1/2017,1466.392474,89.7876
2017.311,4/1/2017,1452.034438,70.896
2017.3603,5/1/2017,1441.276821,63.0924
2017.4411,6/1/2017,1423.645677,73.1472
2018.4548,6/1/2018,1202.449007,63.4284
2018.5205,7/1/2018,1188.112792,64.2096
2018.8315,10/1/2018,1120.250343,66.1668
2018.874,11/1/2018,1110.976535,62.2272
2018.9575,12/1/2018,1092.756231,63.5796
2019.0425,1/1/2019,1074.208617,62.3364
2019.1205,2/1/2019,1057.188453,64.1844
2019.2041,3/1/2019,1038.946328,64.386
2019.2877,4/1/2019,1020.704204,62.4876
2019.3712,5/1/2019,1002.4839,64.0164
2019.4548,6/1/2019,984.2417753,61.992
2019.5384,7/1/2019,965.9996507,63.7728
2019.6233,8/1/2019,947.4738568,63.294
2019.7068,9/1/2019,929.253553,63.0672
2019.7904,10/1/2019,911.0114284,62.286
2019.874,11/1/2019,892.7693039,62.9916
2019.9575,12/1/2019,874.549,65.352
2020.0423,1/1/2020,856.0450268,64.1508
2020.1243,2/1/2020,838.1520338,63.9156
2020.2063,3/1/2020,820.2590409,63.3276
2020.2896,4/1/2020,802.0823785,62.0088
2020.373,5/1/2020,783.8838954,62.0172
2020.4563,6/1/2020,765.707233,63.6216
2020.5396,7/1/2020,747.5305706,62.5296
2020.6243,8/1/2020,729.0484181,64.6128
2020.7077,9/1/2020,710.849935,64.722
2020.791,10/1/2020,692.6732727,62.6472
2020.8743,11/1/2020,674.4966103,68.6364
2020.9577,12/1/2020,656.2981272,65.7972
2021.0425,1/1/2021,637.794154,63.6552
2021.1233,2/1/2021,620.1630097,64.0416
2021.2041,3/1/2021,602.5318654,61.7232
2021.2877,4/1/2021,584.2897408,64.3272
2021.3712,5/1/2021,566.069437,62.874
2021.4548,6/1/2021,547.8273125,63.0504
2021.5384,7/1/2021,529.5851879,62.7984
