"NUMERO";"LAMBX";"LAMBY";"DATE";"SWI_UNIF_MENS"
6500;900093;6504501;196001;1,006
6500;900093;6504501;196002;1,067
6500;900093;6504501;196003;1,041
6500;900093;6504501;196004;0,819
6500;900093;6504501;196005;0,546
6500;900093;6504501;196006;0,39
6500;900093;6504501;196007;0,492
6500;900093;6504501;196008;0,651
6500;900093;6504501;196009;0,856
6500;900093;6504501;196010;1,116
6500;900093;6504501;196011;1,118
6500;900093;6504501;196012;1,021
6500;900093;6504501;196101;1,045
6500;900093;6504501;196102;0,983
6500;900093;6504501;196103;0,819
6500;900093;6504501;196104;0,781
6500;900093;6504501;196105;0,763
6500;900093;6504501;196106;0,648
6500;900093;6504501;196107;0,482
6500;900093;6504501;196108;0,352
6500;900093;6504501;196109;0,153
6500;900093;6504501;196110;0,36
6500;900093;6504501;196111;0,719
6500;900093;6504501;196112;0,983
6500;900093;6504501;196201;1,019
6500;900093;6504501;196202;0,973
6500;900093;6504501;196203;0,984
6500;900093;6504501;196204;0,945
6500;900093;6504501;196205;0,762
6500;900093;6504501;196206;0,566
6500;900093;6504501;196207;0,216
6500;900093;6504501;196208;0,111
6500;900093;6504501;196209;0,082
6500;900093;6504501;196210;0,15
6500;900093;6504501;196211;0,306
6500;900093;6504501;196212;0,557
6500;900093;6504501;196301;0,876
6500;900093;6504501;196302;0,962
6500;900093;6504501;196303;1,053
6500;900093;6504501;196304;1,017
6500;900093;6504501;196305;0,835
6500;900093;6504501;196306;0,774
6500;900093;6504501;196307;0,693
6500;900093;6504501;196308;0,774
6500;900093;6504501;196309;0,91
6500;900093;6504501;196310;0,749
6500;900093;6504501;196311;1,008
6500;900093;6504501;196312;0,968
6500;900093;6504501;196401;0,908
6500;900093;6504501;196402;0,899
6500;900093;6504501;196403;1,076
6500;900093;6504501;196404;0,974
6500;900093;6504501;196405;0,761
6500;900093;6504501;196406;0,574
6500;900093;6504501;196407;0,239
6500;900093;6504501;196408;0,186
6500;900093;6504501;196409;0,194
6500;900093;6504501;196410;0,284
6500;900093;6504501;196411;0,34
6500;900093;6504501;196412;0,467
6500;900093;6504501;196501;0,701
6500;900093;6504501;196502;0,828
6500;900093;6504501;196503;0,966
6500;900093;6504501;196504;0,925
6500;900093;6504501;196505;0,879
6500;900093;6504501;196506;0,771
6500;900093;6504501;196507;0,496
6500;900093;6504501;196508;0,439
6500;900093;6504501;196509;0,788
6500;900093;6504501;196510;0,921
6500;900093;6504501;196511;0,953
6500;900093;6504501;196512;1,09
6500;900093;6504501;196601;1,054
6500;900093;6504501;196602;1,058
6500;900093;6504501;196603;0,964
6500;900093;6504501;196604;0,958
6500;900093;6504501;196605;0,917
6500;900093;6504501;196606;0,552
6500;900093;6504501;196607;0,392
6500;900093;6504501;196608;0,25
6500;900093;6504501;196609;0,153
6500;900093;6504501;196610;0,256
6500;900093;6504501;196611;0,854
6500;900093;6504501;196612;1,035
6500;900093;6504501;196701;1,022
6500;900093;6504501;196702;0,976
6500;900093;6504501;196703;1,014
6500;900093;6504501;196704;0,83
6500;900093;6504501;196705;0,796
