annee,temp_moyenne,co2_cumule,empreinte_co2,glacier_cumule,sea_level,impact_incendies,nb_catastrophes,date_vendange,swi_score
1990,12.088022875816993,18629.549445069384,12.068,4.55,1.3770136,538969000,126.7051198963059,19.97073530565251,0.48773397009697056
1991,11.066127450980392,37336.91785835884,12.028,9.603,1.3770136,65491633,748.167039856695,29.72207268899704,0.5639122681674151
1992,11.487614379084967,56002.14004454132,11.791,14.771999999999998,1.3770136,127654116,285.7798970055312,24.05205942862762,0.6158056689723317
1993,11.164411764705882,74360.9298333376,10.952,20.073,1.3770136,119005146,162.3618717058748,21.566189863410226,0.6594046217493488
1994,12.391160130718953,92671.73970110016,10.828,25.905,1.3770136,226051337,51.32516703786192,18.422470704556474,0.6768356466263391
1995,11.91158496732026,111054.1790445907,11.115,32.196,1.3770136,99879620,60.45904527038929,23.806279469144993,0.5894464746021228
1996,10.913937908496733,129589.06607862069,11.229,38.958999999999996,1.3770136,31192483,131.58625575628764,26.76508554229889,0.5611689537813284
1997,12.208888888888888,147990.37561809295,10.653,46.361999999999995,1.3770136,122500308,89.46952479338843,20.411092946836327,0.5404905619620088
1998,11.612107843137256,165772.9291134941,11.687,54.486999999999995,1.3770136,112434165,153.75529542920847,22.613313488765222,0.606232454680955
1999,12.04361111111111,183036.64690571075,11.569,63.309999999999995,1.3770136,127823214,5.373911086823749,22.28567629454182,0.6602710716380538
2000,12.187728758169934,200297.0623339004,11.39,72.49199999999999,1.5864604,188602720,16.319902744008335,18.59877153263706,0.6974448866442808
2001,11.831993464052289,217631.71757788403,11.447,81.94399999999999,1.8543663,179653736,16.821477241755247,24.030120738986263,0.6593277614629253
2002,12.256928104575163,234745.41069164802,11.41,91.82399999999998,1.9921833,62984120,97.62196932211776,22.9986507596902,0.6055238428283505
2003,12.541143790849674,251609.64960394872,11.91,102.22799999999998,2.1999526,614241694,58.27021246256951,3.2647021637332543,0.5117677836988411
2004,11.719477124183006,268211.5257488969,12.31,113.36399999999998,2.3476655,105964734,24.31304347826087,24.319760935807725,0.5647881368512101
2005,11.671633986928104,284664.2476725272,12.426,125.31599999999997,2.5866396,173562106,63.08826446280992,17.959862323850995,0.4890797003270998
2006,12.359558823529412,300986.25034586317,12.473,137.98199999999997,2.769154,70963499,21.29316181448883,18.497461065329148,0.5492367513464873
2007,12.065882352941175,317326.7064842758,12.651,151.18799999999996,2.8882449,70587808,18.692579505300355,21.32198248905566,0.5671289169038818
2008,11.6821568627451,333873.5694730875,12.721,164.76799999999997,3.1004038,47500391,4.862549089610853,21.32198248905566,0.6134006871923589
2009,12.044117647058824,350059.76763550227,11.601,178.79999999999998,3.3615108,146455151,12.147295968534907,21.32198248905566,0.5226151471644331
2010,10.948480392156862,365990.805262102,11.568,193.70399999999998,3.5490365,94615186,3.271857329273597,21.32198248905566,0.5881872210989411
2011,12.733643790849673,381572.0142893299,11.376,209.34499999999997,3.6607158,95161889,61.81205951448708,21.32198248905566,0.4761396347575345
2012,11.894330065359478,397102.31027369155,10.905,225.70999999999998,4.118179,76477606,100.48108925869894,21.32198248905566,0.6168163672021664
2013,11.451078431372549,412295.64592794067,10.733,242.78699999999998,4.3458347,29931964,3.093503339404979,21.32198248905566,0.6870319490965024
2014,12.837663398692811,427391.8221038927,10.155,260.573,4.573561,49902943,1.7873769024171888,21.32198248905566,0.6478959530888688
2015,12.6206045751634,442342.59222196706,9.77,279.164,5.0297017,82540832,1.15625,21.32198248905566,0.5417312275805721
2016,12.212777777777777,457146.5367390677,9.743,298.74199999999996,5.30071,143810774,1.15625,21.32198248905566,0.598662917745244
2017,12.444411764705883,471920.19816828414,9.809,318.986,5.498152,231738508,1.15625,21.32198248905566,0.49219128767271836
2018,12.965457516339871,486185.9668157222,9.746,340.166,5.774026,40355587,1.15625,21.32198248905566,0.571315133147729
2019,12.74281045751634,500049.39778578846,9.456,362.339,6.133379,151900845,1.15625,21.32198248905566,0.5702860250917499
2020,13.222647058823531,513376.1373151619,8.585,385.395,6.3856316,112259134,1.15625,21.32198248905566,0.5637922604212781
2021,12.037679738562092,526420.4484889716,9.122,409.128,6.7183833,128534992,1.15625,21.32198248905566,0.6188067164607409
2022,13.60127659574468,538927.936690293,9.102,433.95,7.00188,590213752,1.15625,21.32198248905566,0.45168753610743273
2023,13.492694214876034,551183.387975401,8.52,460.025,7.389726,54411249,1.15625,21.32198248905566,0.5678469033812249
2024,13.06724537037037,563332.8869320004,8.21,487.39799999999997,7.6577654,27685792,1.15625,21.32198248905566,0.7203270412823751
